City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
170,Saint-Philippe,RE,2022-05-30 19:34:43,-21.3585,55.7679,71.19,73,44,12.48
171,Zabid,YE,2022-05-30 19:34:44,14.1951,43.3152,91.76,36,74,6.31
172,Pacific Grove,US,2022-05-30 19:31:03,36.6177,-121.9166,72.21,75,0,12.66
173,Provideniya,RU,2022-05-30 19:33:46,64.3833,-173.3,41.67,81,100,0.47
174,Saint-Augustin,CA,2022-05-30 19:34:44,51.226,-58.6502,46.24,87,100,7.36
175,Svetlyy,RU,2022-05-30 19:34:44,54.675,20.1347,51.85,92,100,5.19
176,Arraial Do Cabo,BR,2022-05-30 19:34:45,-22.9661,-42.0278,76.96,73,40,4.61
177,Morehead,US,2022-05-30 19:34:45,37.2711,-87.1764,86.86,56,75,11.5
178,Sao Joao Da Barra,BR,2022-05-30 19:34:45,-21.6403,-41.0511,82.49,81,2,11.72
179,Dubna,RU,2022-05-30 19:34:45,56.7333,37.1667,54.73,73,100,4.9
180,Oxelosund,SE,2022-05-30 19:34:46,58.6706,17.1015,52.18,76,40,3.44
181,Mackay,AU,2022-05-30 19:30:09,-21.15,149.2,67.68,61,97,10.0
182,Narsaq,GL,2022-05-30 19:34:46,60.9167,-46.05,50.22,74,69,7.76
183,Inhambane,MZ,2022-05-30 19:34:46,-23.865,35.3833,69.78,83,75,9.22
184,Faanui,PF,2022-05-30 19:34:47,-16.4833,-151.75,80.1,68,57,8.59
185,Velasco Ibarra,EC,2022-05-30 19:35:47,-1.05,-79.6167,82.63,65,100,1.05
186,Hailey,US,2022-05-30 19:35:47,43.5196,-114.3153,47.89,93,100,5.75
187,Drayton Valley,CA,2022-05-30 19:35:48,53.2168,-114.9854,54.46,54,71,11.39
188,Yerbogachen,RU,2022-05-30 19:35:48,61.2767,108.0108,45.75,61,66,4.97
189,Khatanga,RU,2022-05-30 19:35:48,71.9667,102.5,29.43,84,57,7.81
190,Souillac,MU,2022-05-30 19:35:48,-20.5167,57.5167,68.38,94,75,5.75
191,Port Alfred,ZA,2022-05-30 19:35:49,-33.5906,26.891,59.94,43,100,9.53
192,Pochutla,MX,2022-05-30 19:35:49,15.7432,-96.4661,73.81,83,100,24.07
193,Salinas,US,2022-05-30 19:33:42,36.6777,-121.6555,79.02,59,0,16.11
194,Ponsacco,IT,2022-05-30 19:35:49,43.6238,10.6291,73.26,75,91,2.15
195,Qui Nhon,VN,2022-05-30 19:35:50,13.7667,109.2333,80.37,78,13,3.71
196,Mahebourg,MU,2022-05-30 19:35:50,-20.4081,57.7,70.25,94,75,5.75
197,Kaitangata,NZ,2022-05-30 19:35:50,-46.2817,169.8464,51.75,80,100,4.5
198,Tasiilaq,GL,2022-05-30 19:35:51,65.6145,-37.6368,33.96,87,57,4.61
199,Karpathos,GR,2022-05-30 19:31:18,35.507,27.2132,71.56,83,3,11.5
200,Alice Springs,AU,2022-05-30 19:35:16,-23.7,133.8833,47.75,49,100,5.75
201,Chapais,CA,2022-05-30 19:32:46,49.7834,-74.8492,49.78,89,100,5.23
202,Yongan,CN,2022-05-30 19:35:51,39.6957,113.6871,57.87,17,42,5.61
203,Kodiak,US,2022-05-30 19:35:52,57.79,-152.4072,45.91,87,100,8.05
204,Matamoros,MX,2022-05-30 19:35:52,25.5333,-103.25,95.11,13,0,10.36
205,Maniitsoq,GL,2022-05-30 19:35:52,65.4167,-52.9,39.67,74,78,11.86
206,Beloha,MG,2022-05-30 19:35:52,-25.1667,45.05,64.24,84,0,3.38
207,Tevaitoa,PF,2022-05-30 19:35:53,-16.7833,-151.5,80.04,69,49,8.1
208,Constitucion,CL,2022-05-30 19:35:53,-35.3333,-72.4167,51.69,52,0,9.91
209,Inta,RU,2022-05-30 19:35:53,66.0317,60.1659,48.38,48,28,7.09
210,Katsuura,JP,2022-05-30 19:35:54,35.1333,140.3,64.42,88,100,10.78
211,Abu Dhabi,AE,2022-05-30 19:35:11,24.4667,54.3667,89.62,44,0,8.05
212,Wattegama,LK,2022-05-30 19:35:54,6.7989,81.4808,76.53,80,100,8.21
213,Huaiyuan,CN,2022-05-30 19:35:54,32.973,117.1995,67.6,70,100,7.16
214,Berlevag,NO,2022-05-30 19:35:55,70.8578,29.0864,48.0,81,0,11.5
215,Abay,KZ,2022-05-30 19:35:55,49.6311,72.8539,55.78,64,100,9.01
216,La Ronge,CA,2022-05-30 19:35:55,55.1001,-105.2842,53.82,71,100,14.97
217,Sardulgarh,IN,2022-05-30 19:35:55,29.7,75.25,90.48,20,0,7.14
218,Sao Filipe,CV,2022-05-30 19:32:16,14.8961,-24.4956,75.88,80,5,11.23
219,Kahului,US,2022-05-30 19:35:56,20.8947,-156.47,82.42,51,0,10.0
220,Belaya Gora,RU,2022-05-30 19:35:56,68.5333,146.4167,46.13,75,100,12.82
221,Tirumullaivasal,IN,2022-05-30 19:35:56,11.2333,79.8333,83.89,72,100,12.37
222,Vallenar,CL,2022-05-30 19:32:02,-28.5708,-70.7581,69.91,26,100,4.5
223,Airai,TL,2022-05-30 19:35:57,-8.9266,125.4092,59.9,89,47,1.86
224,Geraldton,AU,2022-05-30 19:31:11,-28.7667,114.6,55.81,67,100,12.66
225,Bousse,BF,2022-05-30 19:35:57,12.6606,-1.8922,96.93,25,71,5.41
226,Sorong,ID,2022-05-30 19:35:58,-0.8833,131.25,79.5,81,100,6.73
227,Morondava,MG,2022-05-30 19:35:58,-20.2833,44.2833,71.98,77,0,12.53
228,Log,RU,2022-05-30 19:35:58,49.4844,43.8613,61.83,80,75,14.76
229,Ust-Omchug,RU,2022-05-30 19:36:58,61.15,149.6333,40.37,87,100,7.49
230,Nivala,FI,2022-05-30 19:36:59,63.9167,24.9667,53.69,94,95,6.4
231,Te Anau,NZ,2022-05-30 19:36:59,-45.4167,167.7167,54.12,90,100,7.54
232,Isangel,VU,2022-05-30 19:36:59,-19.55,169.2667,77.59,87,12,5.79
233,Mentougou,CN,2022-05-30 19:37:00,39.9392,116.0917,52.74,19,13,1.21
234,Teguldet,RU,2022-05-30 19:37:00,57.3064,88.1667,50.47,94,21,8.25
235,Popondetta,PG,2022-05-30 19:37:00,-8.7537,148.2534,72.1,96,75,3.11
236,Tarakan,ID,2022-05-30 19:37:01,3.3,117.6333,79.16,79,96,3.6
237,Varhaug,NO,2022-05-30 19:37:01,58.6147,5.6457,51.85,75,26,2.26
238,Sesheke,ZM,2022-05-30 19:37:01,-17.4759,24.2968,59.92,42,0,6.06
239,Pangody,RU,2022-05-30 19:37:02,65.85,74.4859,39.18,62,15,15.32
240,Benalla,AU,2022-05-30 19:37:02,-36.55,145.9833,44.35,98,95,10.4
241,Batan,CR,2022-05-30 19:37:02,10.0844,-83.341,84.02,82,100,4.7
242,Senador Jose Porfirio,BR,2022-05-30 19:37:03,-2.5908,-51.9542,80.96,89,91,0.51
243,Cherskiy,RU,2022-05-30 19:35:01,68.75,161.3,46.6,53,100,6.08
244,San Jose,US,2022-05-30 19:33:42,37.3394,-121.895,78.26,38,20,14.97
245,Aban,RU,2022-05-30 19:37:03,56.67,96.06,50.95,83,69,12.21
246,Tahlequah,US,2022-05-30 19:37:04,35.9154,-94.97,85.08,47,100,11.5
247,Tazmalt,DZ,2022-05-30 19:37:04,36.3868,4.3989,73.99,62,61,6.31
248,Ailigandi,PA,2022-05-30 19:37:04,9.2333,-78.0167,82.15,80,91,4.0
249,Bambous Virieux,MU,2022-05-30 19:37:05,-20.3428,57.7575,70.21,94,75,5.75
250,Taoudenni,ML,2022-05-30 19:37:05,22.6783,-3.9836,100.49,11,97,10.31
251,Yulara,AU,2022-05-30 19:37:06,-25.2406,130.9889,49.32,51,100,7.92
252,Cabedelo,BR,2022-05-30 19:37:06,-6.9811,-34.8339,81.27,85,58,10.58
253,Mocuba,MZ,2022-05-30 19:37:06,-16.8392,36.9856,66.61,82,84,2.35
254,Natal,BR,2022-05-30 19:33:25,-5.795,-35.2094,84.42,74,40,12.66
255,Dire Dawa,ET,2022-05-30 19:37:07,9.5931,41.8661,74.37,52,54,12.62
256,Itaituba,BR,2022-05-30 19:37:07,-4.2761,-55.9836,91.56,62,20,3.44
257,Garh Maharaja,PK,2022-05-30 19:37:07,30.8339,71.9053,90.28,25,0,9.06
258,Shingu,JP,2022-05-30 19:37:08,33.7333,135.9833,65.14,92,100,6.98
259,Oistins,BB,2022-05-30 19:37:08,13.0667,-59.5333,86.09,62,20,18.41
260,Namatanai,PG,2022-05-30 19:32:21,-3.6667,152.4333,78.1,77,100,5.5
261,Lynchburg,US,2022-05-30 19:36:35,37.4138,-79.1423,90.72,51,20,3.44
262,Labuhan,ID,2022-05-30 19:37:08,-6.8844,112.2051,78.94,82,4,2.98
263,Gotzis,AT,2022-05-30 19:37:09,47.3331,9.6331,56.98,56,4,2.3
264,Lagoa,PT,2022-05-30 19:37:09,39.05,-27.9833,58.44,70,63,28.14
265,Thessalon,CA,2022-05-30 19:37:09,46.2501,-83.5666,75.49,83,100,8.16
266,College,US,2022-05-30 19:32:39,64.8569,-147.8028,68.09,41,20,1.01
267,Coquimbo,CL,2022-05-30 19:37:10,-29.9533,-71.3436,56.93,76,0,6.91
268,Port Elizabeth,ZA,2022-05-30 19:37:10,-33.918,25.5701,56.32,77,0,6.91
269,Henties Bay,NA,2022-05-30 19:37:10,-22.116,14.2845,59.49,72,0,6.96
270,Sorland,NO,2022-05-30 19:37:11,67.667,12.6934,51.66,76,83,7.25
271,Port Blair,IN,2022-05-30 19:33:17,11.6667,92.75,82.44,89,75,8.05
272,Nador,MA,2022-05-30 19:33:24,35.174,-2.9287,73.65,49,0,8.05
273,Hambantota,LK,2022-05-30 19:37:11,6.1241,81.1185,78.6,84,100,19.57
274,Manokwari,ID,2022-05-30 19:37:12,-0.8667,134.0833,77.95,78,49,3.62
275,Poum,NC,2022-05-30 19:37:12,-20.2333,164.0167,77.29,79,60,10.89
276,Atambua,ID,2022-05-30 19:38:12,-9.1061,124.8925,72.5,86,94,2.86
277,Grindavik,IS,2022-05-30 19:38:13,63.8424,-22.4338,52.27,87,75,8.05
278,Russell,US,2022-05-30 19:38:13,32.3502,-85.1999,89.91,43,20,9.22
279,Lebu,CL,2022-05-30 19:38:13,-37.6167,-73.65,47.86,64,0,12.33
280,Shieli,KZ,2022-05-30 19:38:14,44.1667,66.75,70.52,38,4,8.32
281,Guadix,ES,2022-05-30 19:38:14,37.2993,-3.1392,68.47,48,83,3.53
282,Schopfheim,DE,2022-05-30 19:38:14,47.6511,7.8209,63.12,59,51,3.18
283,Ranfurly,NZ,2022-05-30 19:38:15,-45.1333,170.1,48.97,83,100,5.7
284,Diffa,NE,2022-05-30 19:38:15,13.3154,12.6113,88.23,8,0,6.8
285,Elizabeth City,US,2022-05-30 19:38:15,36.2946,-76.2511,87.82,56,0,9.44
286,Polyarnyy,RU,2022-05-30 19:38:15,69.1989,33.4478,42.15,69,8,5.91
287,Tura,IN,2022-05-30 19:38:04,25.5198,90.2201,73.22,90,0,3.96
288,Tommot,RU,2022-05-30 19:38:16,58.9564,126.2925,44.35,94,33,3.56
289,Northam,GB,2022-05-30 19:38:16,51.0333,-4.2167,53.62,71,16,8.03
